state_code,latitude,longitude,zip_code,city,name,labels,founded_at,closed_at,first_funding_at,last_funding_at,age_first_funding_year,age_last_funding_year,age_first_milestone_year,age_last_milestone_year,relationships,funding_rounds,funding_total_usd,milestones,category_code,has_VC,has_angel,has_roundA,has_roundB,has_roundC,has_roundD,avg_participants,is_top500,status,lat,lng,population,density,county_name,dist_highway,dist2_large_airport,dist2_medium_airport,dist_to_shore,number_of_business,adjusted_gross_income,total_income_amount,number_of_returns
CA,42.35888,-71.05682,92101,San Diego,Bandsintown,1,1/1/2007,,4/1/2009,1/1/2010,2.2493,3.0027,4.6685,6.7041,3,3,375000,3,music,0,1,0,0,0,0,1.0,0,acquired,32.7162,-117.18589,43096,3090.7,San Diego,2.15882874426066,1.97273352409981,3.31507750651705,3.49959440222787,3846.0,2614117,2650133.0,25200
CA,37.238916,-121.973718,95032,Los Gatos,TriCipher,1,1/1/2000,,2/14/2005,12/28/2009,5.126,9.9973,7.0055,7.0055,9,4,40100000,1,enterprise,1,0,0,1,1,1,4.75,1,acquired,37.20859,-121.92359,27149,561.6,Santa Clara,4.87727916844015,17.1158404552147,25.6013754921013,26.8824929535616,965.0,5738753,5783111.0,13140
CA,32.901049,-117.192656,92121,San Diego,Plixi,1,3/18/2009,,3/30/2010,3/30/2010,1.0329,1.0329,1.4575,2.2055,5,1,2600000,2,web,0,0,1,0,0,0,4.0,1,acquired,32.8973,-117.20231,4213,129.7,San Diego,0.831301748711062,18.2388412059562,6.40327916789324,4.96530612388044,2932.0,494212,499351.0,2550
CA,37.320309,-122.05004,95014,Cupertino,Solidcore Systems,1,1/1/2002,,2/17/2005,4/25/2007,3.1315,5.3151,6.0027,6.0027,5,3,40000000,1,software,0,0,0,1,1,1,3.3333,1,acquired,37.30827,-122.07981,62185,965.8,Santa Clara,2.95285696549286,14.6161107966278,12.295377481348,30.1840498074709,1653.0,8095008,8145254.0,27030
CA,37.779281,-122.419236,94105,San Francisco,Inhale Digital,0,8/1/2010,10/1/2012,8/1/2010,4/1/2012,0.0,1.6685,0.0384,0.0384,2,2,1300000,1,games_video,1,1,0,0,0,0,1.0,1,closed,37.79239,-122.39707,13810,10568.6,San Francisco,0.918061861188229,17.3804278330319,51.8737416628567,7.7275391744511,2216.0,3105528,3124831.0,8230
CA,37.406914,-122.09037,94043,Mountain View,Matisse Networks,0,1/1/2002,2/15/2009,7/18/2006,7/18/2006,4.5452,4.5452,5.0027,5.0027,3,1,7500000,1,network_hosting,0,0,0,1,0,0,3.0,1,closed,37.41188,-122.06892,33052,1508.8,Santa Clara,0.360648460339702,13.5134938759243,1.82046417828481,31.5180333226296,1183.0,3328885,3345934.0,15630
CA,37.3915589,-122.0702643,94041,Mountain View,RingCube Technologies,1,1/1/2005,,9/21/2006,3/18/2010,1.7205,5.211,3.0,6.6082,6,3,26000000,2,software,1,0,1,1,0,0,1.6667,1,acquired,37.38822,-122.07529,14862,3606.6,Santa Clara,0.601898936973674,13.224283204011,3.87323460309029,30.4878544260464,471.0,2154685,2166343.0,7630
CA,38.057107,-122.513742,94901,San Rafael,ClairMail,1,1/1/2004,,8/24/2005,10/4/2010,1.6466,6.7616,5.6055,7.3616,25,3,34100000,3,finance,0,0,1,1,0,1,3.5,1,acquired,37.98053,-122.50249,42307,1246.7,Marin,1.68647153317057,37.969994098601,59.319018550629,15.352303914329,1996.0,3232627,3296125.0,20070
CA,37.427235,-122.145783,94306,Palo Alto,Doostang,1,6/1/2005,,2/1/2007,2/5/2010,1.6712,4.6849,2.9178,6.1151,14,3,5750000,4,web,1,1,1,0,0,0,1.0,1,acquired,37.41627,-122.13088,28394,2683.4,Santa Clara,2.9968361732801,18.796997109282,7.23096842609695,26.0241157902973,1001.0,5242866,5282096.0,13110
CA,37.4429885,-122.1624131,94025,Menlo Park,Zong,1,11/15/2000,,7/1/2005,4/26/2010,4.6274,9.4493,10.1342,10.6493,22,3,27500000,3,mobile,0,0,1,1,0,0,1.0,1,acquired,37.45087,-122.1829,41826,1930.5,San Mateo,3.20697609227186,24.4714477606152,12.4385274991423,22.8329717789427,1661.0,9412740,9502458.0,19320
CA,37.452992,-122.185098,94025,Menlo Park,Center'd,0,1/1/2006,12/2/2011,2/1/2007,5/3/2011,1.0849,5.3370000000000015,-0.6164,4.6082,8,5,10400000,2,web,1,1,1,0,0,0,1.75,1,closed,37.45087,-122.1829,41826,1930.5,San Mateo,3.20697609227186,24.4714477606152,12.4385274991423,22.8329717789427,1661.0,9412740,9502458.0,19320
KY,38.241467,-85.72451099999998,40204,Louisville,Resonant Vibes,0,1/1/2004,4/27/2012,11/25/2008,11/25/2008,4.9041,4.9041,,,0,1,350000,0,web,1,0,0,0,0,0,1.0,0,closed,38.23873,-85.7208,14591,1775.1,Jefferson,1.45393892338427,7.27541763775375,5.12832844053392,402.24708392058,519.0,675880,685708.0,7730
NY,40.70276,-73.98666800000002,11201,Brooklyn,drop.io,1,11/26/2007,,12/3/2007,5/3/2010,0.0192,2.4356,0.7945,4.3781,15,3,9950000,3,education,0,0,1,1,1,0,2.3333,1,acquired,40.69,-73.99,68777,19613.2,Kings,0.769358204266154,13.8516732268565,18.774303525793,10.4666005941406,2930.0,8405929,8507786.0,33940
CO,39.74627279999999,-104.9911572,80202,Denver,Stratavia,1,1/1/2001,,8/31/2005,12/29/2009,4.6658,8.9973,8.8384,8.8384,12,5,10700000,1,software,0,0,1,1,0,0,2.5,1,acquired,39.75156,-104.99768,16952,5660.6,Denver,1.17202371208509,30.3183287064847,20.2361486038483,1304.62934718666,2969.0,1983186,2005440.0,11850
VA,38.901301,-77.265158,22182,Vienna,Invicta Networks,0,1/1/1999,3/28/2010,8/9/2005,8/9/2005,6.6082,6.6082,,,0,1,200000,0,public_relations,1,0,0,0,0,0,1.0,0,closed,38.94,-77.27,27151,839.1,Fairfax,0.0544958582274803,16.0769911183937,26.1797788701489,34.9796661117597,1694.0,3311382,3359248.0,12730
CA,37.39628270000001,-122.105531,94022,Los Altos,QSecure,0,1/1/2003,9/22/2012,8/2/2005,10/5/2009,2.5863,6.7644,5.5014,5.5014,8,5,49000000,1,security,1,0,1,1,1,1,3.5,1,closed,37.35534,-122.14494,20069,437.3,Santa Clara,1.51157788707225,19.0852616330294,10.8393123068764,23.7809010132568,890.0,8813913,8889195.0,9760
CA,37.590339,-122.341715,94010,Burlingame,MeeVee,1,7/1/2000,,2/1/2005,9/1/2007,4.5918,7.1726,-0.4986,12.6795,7,4,25000000,3,games_video,0,0,1,1,1,1,3.5,1,acquired,37.57306,-122.37828,43644,1114.7,San Mateo,1.29017691422067,5.11640450781434,33.8895486786525,11.8899732069782,2105.0,11043368,11142064.0,20650
NY,40.730646,-73.986614,10004,New York,SinglePlatform,1,1/1/2010,,9/29/2010,8/1/2011,0.7425,1.5808,1.2849,3.0027,10,3,4575000,3,web,0,1,1,0,0,0,5.0,1,acquired,40.69,-74.02,4795,4063.8,New York,0.737589828800893,12.5403260649101,18.130974354939,9.78951444293679,1478.0,1039313,1047897.0,2220
CA,37.446411,-122.16054,94301,Palo Alto,Bling Nation,0,1/1/2007,9/10/2011,7/2/2009,10/30/2009,2.5014,2.8301,3.0877,3.4932,13,2,28000000,3,enterprise,0,0,1,1,0,0,1.0,1,closed,37.44424,-122.14992,17243,2808.8,Santa Clara,2.01061271192656,21.514158634938,9.44422369103014,25.3979311854593,1305.0,15224673,15277982.0,8100
TX,30.2350399,-97.80012990000002,78735,Austin,Metreos Corporation,1,1/1/2001,,3/20/2003,10/14/2004,2.2137,3.7863,4.0877,9.4986,8,2,4355000,3,software,0,1,1,0,0,0,1.5,0,acquired,30.26634,-97.86775,19152,366.2,Travis,3.58100038389427,21.1943910727486,41.5493872849391,252.819176841593,573.0,2298936,2325528.0,10240
WA,47.6026054,-122.2848651,98122,Seattle,Hidden City Games,0,1/1/2004,9/28/2011,10/31/2007,10/31/2007,3.8329,3.8329,3.7507,3.7507,3,1,15000000,1,other,0,0,0,1,0,0,2.0,1,closed,47.60985,-122.29569,41541,6865.8,King,2.22027626923214,17.9052751149133,8.89164460196353,3.57671215391269,1132.0,2990318,3018054.0,23310
CA,37.426316,-122.141082,94306,Palo Alto,Neopolitan Networks,0,1/1/2002,7/25/2008,6/28/2007,6/28/2007,5.4904,5.4904,0.0,0.0,1,1,3170000,1,web,0,0,1,0,0,0,2.0,0,closed,37.41627,-122.13088,28394,2683.4,Santa Clara,2.9968361732801,18.796997109282,7.23096842609695,26.0241157902973,1001.0,5242866,5282096.0,13110
CA,37.764395,-122.401024,94103,San Francisco,Pixelpipe,0,1/1/2008,8/2/2013,1/1/2007,4/25/2011,-1.0,3.3151,3.6959,5.6629999999999985,4,2,2300000,3,mobile,0,1,1,0,0,0,2.0,0,closed,37.77299,-122.41136,32430,9113.8,San Francisco,0.405962658461041,17.4192512249868,50.9319987531928,7.13893261996298,2769.0,2422746,2436413.0,16870
CO,40.010492,-105.276843,80302,Boulder,EventVue,0,5/1/2007,2/1/2010,8/1/2007,9/1/2007,0.2521,0.337,,,5,2,455000,0,public_relations,0,1,1,0,0,0,4.5,1,closed,40.0306,-105.35542,29593,121.7,Boulder,8.82988806845427,61.1311157629361,24.4182631461018,1308.20349063445,1850.0,1823521,1849520.0,9720
IL,41.875555,-87.624421,60601,Chicago,BridgePort Networks,1,1/1/2002,,11/3/2006,11/3/2006,4.8411,4.8411,1.0,1.0,3,1,13000000,1,software,0,0,0,0,1,0,4.0,1,acquired,41.88527,-87.62197,14804,14706.9,Cook,1.45694340541961,15.4472075106242,34.3751623933444,0.594001947393929,2470.0,2376422,2399206.0,8310
CA,37.429676,-122.1085482,94303,Palo Alto,Scalent Systems,1,1/1/2003,,1/22/2007,1/22/2007,4.0603,4.0603,3.0027,3.0027,7,1,15000000,1,public_relations,0,0,0,0,1,0,4.0,1,acquired,37.45064,-122.11928,48487,2218.4,Santa Clara,0.383871646786651,19.4440798614888,7.29749866936425,28.320386483243,829.0,4802348,4835411.0,21850
CA,37.870102,-122.268136,94704,Berkeley,IQ Engines,1,6/1/2008,,6/25/2012,6/25/2012,4.0685,4.0685,3.4192,5.2301,2,1,3800000,3,photo_video,0,0,0,1,0,0,2.0,1,acquired,37.8664,-122.26088,25124,11398.1,Alameda,2.6230628550454,16.5107324140902,52.8791764528172,20.7805745140355,915.0,445338,451781.0,5780
TX,30.2653441,-97.7435857,78701,Austin,"RetailMeNot, Inc.",1,5/1/2007,,11/1/2009,11/10/2011,2.5068,4.5315,4.9315,5.6767,37,5,299500000,2,web,1,0,1,0,1,0,1.75,1,acquired,30.27022,-97.74248,9560,2447.3,Travis,0.860506040555606,11.1838705570427,43.5505252278458,246.224538234603,2672.0,3024275,3049237.0,6540
CA,33.708708,-117.852069,92705,Santa Ana,Mophie,1,5/24/2005,,8/1/2006,8/1/2006,1.189,1.189,2.189,7.7753,5,1,1000000,3,hardware,1,0,0,0,0,0,2.0,1,acquired,33.755,-117.81488,47851,1567.5,Orange,1.575244562971,10.0939000447249,22.2602698849871,19.5333334556691,2959.0,2881019,2925729.0,22770
WA,47.603832,-122.330062,98119,Seattle,Lockdown Networks,1,1/1/2001,,2/25/2005,3/2/2006,4.1534,5.1671,3.0,3.0,6,2,8600000,1,public_relations,1,0,0,1,0,0,1.5,1,acquired,47.63943,-122.36932,26094,4186.5,King,3.37953456203066,21.6029066021871,13.1740607485716,1.57263880301676,884.0,2364965,2387886.0,13330
NC,36.002893,-78.904075,27701,Durham,eMinor,0,10/1/2006,2/17/2012,8/1/2006,10/7/2008,-0.1671,2.0192,,,9,2,5000000,0,software,0,0,1,1,0,0,2.5,1,closed,35.99858,-78.89872,23876,1756.1,Durham,1.05557027416835,16.769752098141,73.0129266243426,223.27872500838,894.0,800386,814521.0,10810
CA,37.779281,-122.419236,94105,San Francisco,Karma,1,1/1/2011,,1/1/2011,11/14/2011,0.0,0.8685,0.4137,2.1671,3,2,2304999,2,mobile,1,0,0,0,0,0,5.0,1,acquired,37.79239,-122.39707,13810,10568.6,San Francisco,0.918061861188229,17.3804278330319,51.8737416628567,7.7275391744511,2216.0,3105528,3124831.0,8230
PA,40.441694,-79.990086,15219,Pittsburgh,Zipano,0,6/1/2009,5/27/2012,7/1/2009,7/1/2009,0.0822,0.0822,,,2,1,25000,0,security,0,1,0,0,0,0,1.0,0,closed,40.44304,-79.98443,10453,1834.0,Allegheny,0.548942435873432,21.699135123357,10.8735574320054,180.478285527653,1324.0,309598,312099.0,5490
NY,40.73901,-73.997259,10011,New York,Entertainment Media Works,0,7/1/2004,10/1/2008,2/26/2007,2/26/2007,2.6575,2.6575,0.0,0.0,1,1,4000000,1,software,0,0,0,1,0,0,1.0,1,closed,40.74173,-74.00037,51867,30925.5,New York,0.744294413671294,11.4616640809413,13.0800222207951,16.053203143223,3891.0,9019099,9122665.0,27570
CA,37.791137,-122.391843,94111,San Francisco,Elastra,0,1/1/2007,1/28/2011,8/15/2007,8/5/2008,0.6192,1.5945,1.0,4.3315,8,2,14600000,3,software,0,0,1,1,0,0,2.0,1,closed,37.79847,-122.3998,4707,5447.6,San Francisco,1.57317409229453,17.9078779413642,52.5608691120803,7.33660700148972,2524.0,1697975,1713693.0,2700
CA,37.404788,-121.940842,95134,San Jose,RPO,0,1/1/2005,6/1/2013,1/24/2006,9/13/2010,1.063,5.7014,,,0,3,44000000,0,hardware,0,0,0,1,1,0,4.5,1,closed,37.43003,-121.94528,31172,1113.6,Santa Clara,1.22585347257406,7.64761320936702,9.2896699547666,43.2203103920605,626.0,2421545,2428010.0,14580
CA,37.7795014,-122.3948712,94107,San Francisco,Fotomoto,1,10/1/2008,,12/1/2008,5/26/2011,0.1671,2.6493,0.6082,4.7507,10,3,1822922,3,ecommerce,0,1,1,0,0,0,2.3333,1,acquired,37.76473,-122.39508,28607,5951.9,San Francisco,0.149817505671583,16.0503826883757,49.321312459411,8.89826715961436,2343.0,4168994,4205247.0,17710
NY,40.755446,-73.980246,10010,New York,Peer39,1,3/1/2006,,3/1/2006,1/24/2012,0.0,5.9041,3.8411,7.1370000000000005,18,7,29915001,5,advertising,1,1,1,1,1,0,2.75,1,acquired,40.74,-73.98,33193,34754.1,New York,0.57778823830952,9.94699033327552,14.0052401817209,16.2934062408544,3086.0,4709606,4762756.0,15360
GA,33.756806,-84.392198,30303,Atlanta,Vitrue,1,5/1/2006,,5/1/2006,2/17/2011,0.0,4.8027,3.7205,7.6164,26,4,33000000,5,enterprise,0,0,1,1,1,0,3.0,1,acquired,33.75284,-84.39028,6106,2274.0,Fulton,0.6770037929681,13.3797980656845,12.4672385347841,379.935686739837,1550.0,74815,75988.0,1460
